Treatment,Microcolony,Week,Weigth
HW,1,0,132.9878
HW,2,0,132.9878
HW,3,0,133.03
HW,4,0,132.3982
HW,5,0,133.3328
HW,6,0,133.8422
HW,7,0,132.3243
HW,8,0,132.9878
HW,9,0,133.1765
CN,10,0,128.1
CN,11,0,127.5
CN,12,0,128.1
CN,13,0,127.8
CN,14,0,130.4
CN,15,0,128.4
CN,16,0,127.2
CN,17,0,128.1
CN,18,0,131.5
HW,1,1,131.5
HW,2,1,131.4
HW,3,1,134.9
HW,4,1,
HW,5,1,132.8
HW,6,1,133.2
HW,7,1,132
HW,8,1,130.1
HW,9,1,130.4
CN,10,1,127.6
CN,11,1,127.3
CN,12,1,128.7
CN,13,1,127.9
CN,14,1,127.6
CN,15,1,132
CN,16,1,131.5
CN,17,1,129.2
CN,18,1,133.9
HW,1,2,136
HW,2,2,136.8
HW,3,2,136.9
HW,4,2,
HW,5,2,135.7
HW,6,2,138.7
HW,7,2,135.9
HW,8,2,135.5
HW,9,2,132.9
CN,10,2,130.5
CN,11,2,129
CN,12,2,128.5
CN,13,2,128.6
CN,14,2,136.8
CN,15,2,
CN,16,2,128.3
CN,17,2,
CN,18,2,132.1
HW,1,3,137.4
HW,2,3,139.1
HW,3,3,139.7
HW,5,3,135.8
HW,6,3,138.8
HW,7,3,136.8
HW,8,3,137.2
HW,9,3,136.2
CN,10,3,130.9
CN,11,3,129.4
CN,12,3,132.1
CN,13,3,132.1
CN,14,3,141.1
CN,16,3,128.5
CN,17,3,132.8
CN,18,3,136.4
HW,1,4,134.6
HW,2,4,145.1
HW,3,4,138.4
HW,5,4,134.9
HW,6,4,137.5
HW,7,4,134.6
HW,8,4,140.3
HW,9,4,136.7
CN,10,4,132.7
CN,11,4,132.7
CN,12,4,133.9
CN,13,4,134.5
CN,14,4,140.3
CN,16,4,130.1
CN,17,4,133.5
CN,18,4,139.7
CN,10,4.5,133.2
CN,11,4.5,132.7
CN,12,4.5,132
CN,13,4.5,132.9
CN,14,4.5,141.4
CN,16,4.5,130.9
CN,17,4.5,133.8
CN,18,4.5,138.5
